Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Dallas Mavericks,50,241.5,36.3,80.7,0.45,4.3,13.7,0.315,32,67,0.477,17.1,23.9,0.717,13.2,30.4,43.6,21.5,7.2,4.9,14,20.8,94
22,Boston Celtics,50,243,34.5,77.9,0.443,3.5,11.2,0.312,31,66.7,0.465,22.4,30.1,0.742,12.8,30.9,43.7,20.4,9.2,5.1,16.8,20,94.9
23,New Jersey Nets,50,241,35.9,79.4,0.453,4.5,13.1,0.341,31.5,66.3,0.475,18.9,26,0.727,12.5,31.6,44.1,19.4,7.9,6.5,16.3,21.7,95.2
24,Seattle SuperSonics,50,242,36.8,80.5,0.457,5.3,15.3,0.345,31.5,65.2,0.483,17.1,23.7,0.722,13,28.9,42,22.2,8,4.5,14.9,23.3,95.9
25,Los Angeles Lakers*,50,241,35.2,79.8,0.441,4.3,13.1,0.332,30.8,66.8,0.462,21.3,30,0.709,12.6,28.1,40.6,21.2,8.2,3.9,14.3,25.4,96
26,Vancouver Grizzlies,50,243.5,36.3,78.3,0.463,4.6,13.1,0.351,31.7,65.3,0.485,20.4,28,0.729,13.5,29.1,42.6,23.8,9.8,6.6,15.6,23.3,97.5
27,Los Angeles Clippers,50,242.5,36.6,77.2,0.474,4.4,12.5,0.354,32.2,64.6,0.498,21.6,28.9,0.746,12.8,30.1,42.9,22,8.4,5.8,15.6,20.8,99.2
28,Denver Nuggets,50,240.5,37.7,80.3,0.469,4.7,12.8,0.37,33,67.5,0.488,19.9,26.8,0.745,12.4,30,42.4,23.5,7.9,5.5,14,22.1,100.1
29,Sacramento Kings*,50,244,40.2,90,0.446,4.4,13,0.336,35.8,77,0.465,15.9,22.3,0.712,15,32,47,23.3,9.8,4.4,15.8,22,100.6
,,,,,,,,,,,,,,,,,,,,,,,,
