Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Atlanta Hawks*,50,241.5,32,77.5,0.413,3.8,12.7,0.3,28.2,64.8,0.435,15.7,21.5,0.729,11.6,27.4,39,17.9,7.6,4.9,13.5,24,83.4
2,Miami Heat*,50,240.5,31.3,76.1,0.411,4.2,12.1,0.348,27.1,64,0.423,17.2,23.3,0.737,12.4,26.8,39.2,17.1,7.7,3.8,13.5,22,84
3,San Antonio Spurs*,50,241.5,32.6,81.2,0.402,3.4,11.2,0.304,29.2,70,0.417,16.1,23,0.701,13.9,28.1,42.1,18.8,8.7,4.9,14.6,23,84.7
4,New York Knicks*,50,242,30.6,75.8,0.403,4.7,13.2,0.353,25.9,62.6,0.414,19.6,26.7,0.733,12.3,28.5,40.8,18.5,8.5,4.3,15.3,20.7,85.4
5,Utah Jazz*,50,243.5,31.9,77.3,0.413,4.3,13.3,0.321,27.6,63.9,0.432,18.7,26,0.721,12.7,25.9,38.6,18.1,8.6,5.3,14.9,26.2,86.8
6,Orlando Magic*,50,241,34.2,77.1,0.443,4.6,13.3,0.345,29.6,63.8,0.463,13.9,19.7,0.707,11.9,28.5,40.4,20.8,9.4,4.8,17.3,22.2,86.9
7,Detroit Pistons*,50,241,31.7,72.8,0.436,4.7,13.6,0.346,27,59.1,0.456,18.8,26.3,0.715,11,27.5,38.5,20.9,8.5,4.5,15.4,22.3,86.9
8,Philadelphia 76ers*,50,243,32,75.7,0.423,4.8,14.3,0.337,27.2,61.4,0.443,18.8,25.8,0.731,12.4,28,40.4,20,8.7,5.3,17.9,23.7,87.6
9,Cleveland Cavaliers,50,241,31.9,73.3,0.436,4.7,13.5,0.35,27.2,59.8,0.455,19.6,26.3,0.743,11.8,28.1,39.9,21.1,7.8,5.6,16.4,24,88.2
10,Portland Trail Blazers*,50,243.5,32.9,78.8,0.417,4.4,13.8,0.318,28.5,65,0.438,18.3,25.3,0.725,12.3,27.8,40.1,19.2,8.2,4.9,15.7,22.8,88.5
11,Milwaukee Bucks*,50,241,32,74.9,0.427,5.4,16.3,0.334,26.6,58.6,0.453,20.6,27.4,0.752,13.1,28,41.1,20.4,8,3.9,16.6,20.4,90
12,Golden State Warriors,50,242.5,32.3,77,0.42,3.9,11.5,0.336,28.5,65.5,0.435,22.3,30.6,0.728,13.1,30.1,43.2,20.5,8,6.1,14.7,20.5,90.8
13,Indiana Pacers*,50,242,34.1,78.7,0.434,4.1,12.7,0.325,30,66,0.454,18.6,24.5,0.756,12.5,28.5,41,19.1,7.1,4.8,13,22.5,90.9
14,Chicago Bulls,50,241.5,34.5,75.7,0.455,4.2,12.2,0.34,30.3,63.5,0.477,18.3,24.9,0.733,11,31.4,42.4,22,8.9,5.7,15.6,21.5,91.4
15,Houston Rockets*,50,241.5,35.9,82.7,0.434,4.6,12.9,0.357,31.3,69.8,0.448,15.6,21.2,0.734,13.3,27.8,41.1,20.7,8.8,4.9,13.1,20.6,91.9
16,Minnesota Timberwolves*,50,240.5,33.6,76.5,0.439,4.3,13.1,0.326,29.3,63.4,0.463,21.1,29.4,0.718,11.8,31.3,43.1,22.3,7.3,5.2,16.7,20.3,92.6
17,Toronto Raptors,50,241.5,33.9,77.1,0.439,5.1,13.7,0.372,28.8,63.4,0.454,19.9,27.4,0.728,12.3,27.9,40.1,21.9,8.9,5.2,15.5,21.8,92.8
18,Charlotte Hornets,50,243,34.8,80.1,0.434,4.2,12.7,0.333,30.5,67.3,0.454,19.2,26.1,0.734,13.1,29.8,42.9,21.8,8.9,4.6,15.2,23,93
19,Phoenix Suns*,50,241,35.4,78.7,0.45,5.4,15.1,0.36,30,63.6,0.472,17,24.5,0.694,12.3,30.1,42.4,21.3,8.2,4.1,16.2,21.3,93.3
20,Washington Wizards,50,241,34.1,76.5,0.446,4.4,12.4,0.352,29.7,64.1,0.464,20.9,28.4,0.736,12.3,30.3,42.7,21.6,8,4.2,15.8,21.7,93.4
