Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Chicago Bulls*,66,241.5,34.6,82.1,0.421,4.6,14.2,0.325,30,67.9,0.442,14.3,19.4,0.74,11.4,28.6,40,18.9,7.4,5.2,13.3,17.7,88.2
2,Boston Celtics*,66,241.5,33.4,79.7,0.419,5.2,16.9,0.308,28.2,62.8,0.449,17.2,22.7,0.76,11.8,31.4,43.2,18.7,7.8,4.6,15.7,18.4,89.3
3,Philadelphia 76ers*,66,241.1,34.3,80.3,0.427,5.4,16.2,0.334,28.9,64.1,0.45,15.4,20.5,0.752,10.7,33,43.7,19.6,5.9,4.8,13.9,16.2,89.4
4,Miami Heat*,66,243,34.6,79.8,0.434,7.3,20,0.363,27.4,59.8,0.457,16,22.1,0.725,11,28.7,39.8,19.7,8.3,4.2,16.8,20.5,92.5
5,Memphis Grizzlies*,66,241.5,34.5,77.8,0.444,6.3,18.3,0.345,28.2,59.4,0.474,17.6,23.1,0.764,11,29.6,40.7,19.3,7.8,5.5,17.1,19.3,93
6,Atlanta Hawks*,66,244.9,36.1,81.3,0.444,5.9,17.2,0.344,30.1,64.1,0.47,15.1,20.1,0.753,10.8,31.5,42.3,20.5,7.5,4.7,15.1,19.1,93.2
7,Orlando Magic*,66,241.9,35.9,80.1,0.449,6.3,18.1,0.347,29.7,62,0.478,15.2,19.7,0.772,10.1,31.2,41.3,20.5,7.5,4.1,13.1,19.8,93.4
8,New Orleans Hornets,66,241.5,34.9,78.6,0.444,6.4,20.3,0.317,28.5,58.3,0.489,17.1,22.5,0.759,11.1,28.9,40,20.9,7.9,5.8,13.9,18.7,93.4
9,Toronto Raptors,66,241.9,33.8,77.7,0.435,6.1,18.5,0.328,27.8,59.2,0.469,20.2,27.2,0.744,10.3,30.3,40.5,20.1,7.2,4.9,13.2,18.4,94
10,Indiana Pacers*,66,242.3,34.9,80.4,0.435,6.7,19.1,0.351,28.2,61.3,0.461,17.9,24.5,0.729,12,30.3,42.3,19.6,6.6,6,14.9,21.6,94.4
11,New York Knicks*,66,241.5,35.1,79.4,0.442,6.7,18.8,0.359,28.4,60.6,0.468,17.7,24.1,0.736,10.9,31,41.8,18.9,8.1,5.1,17,21.8,94.7
12,Dallas Mavericks*,66,243.4,35.6,81.7,0.435,7.2,20.7,0.346,28.4,60.9,0.466,16.5,22.1,0.75,11,32.9,43.9,20.5,8.5,4,14.7,18.4,94.8
13,Los Angeles Clippers*,66,241.9,34.5,77.2,0.447,7,19.1,0.365,27.6,58.1,0.474,19,25.4,0.746,10.8,29,39.8,20.7,6,4.5,14.6,21.2,95
14,Detroit Pistons,66,241.9,36,78,0.462,6,16.9,0.355,30,61.1,0.492,17.6,23,0.765,10.7,30.1,40.7,22.5,8.5,5.3,14.5,19.4,95.7
15,Los Angeles Lakers*,66,243.4,37.8,86.4,0.437,6.7,19.3,0.348,31,67.1,0.463,13.7,18.4,0.742,11.5,29.5,41,21.9,8.4,4.6,11.3,20.2,95.9
16,San Antonio Spurs*,66,241.5,38.1,84.2,0.452,6.2,17.7,0.353,31.8,66.6,0.478,14.1,18.7,0.756,10.3,30.9,41.2,19.6,7.4,5,13.7,18.8,96.5
17,Oklahoma City Thunder*,66,242.3,36.4,85.3,0.427,6.4,18.7,0.342,30.1,66.6,0.451,17.7,23,0.768,12.7,28.6,41.3,19.9,8.2,4.9,14.2,20,96.9
18,Portland Trail Blazers,66,241.9,37.5,81,0.463,6.7,18.4,0.363,30.8,62.6,0.492,16.1,21.5,0.747,11.1,31.2,42.3,21.1,7.6,4.8,14.9,19.8,97.8
19,Houston Rockets,66,243.4,37.5,82.2,0.456,5.6,17.2,0.325,31.9,65,0.491,17.3,22.6,0.766,11,30.7,41.8,20,7.5,5.2,14.7,18.4,97.9
20,Washington Wizards,66,240.4,36.7,81.1,0.453,6.5,18.4,0.35,30.2,62.7,0.483,18.6,24.5,0.758,12.3,31.2,43.5,21.5,7.9,4.5,15.2,18.7,98.4
21,Phoenix Suns,66,240,38,83.5,0.455,6,17.1,0.352,31.9,66.3,0.481,16.7,21.9,0.762,12.2,31.3,43.4,21.5,8,4.4,14.1,19.6,98.6
22,Milwaukee Bucks,66,240.4,37.1,82.6,0.449,6.6,18.9,0.351,30.5,63.7,0.478,17.9,23.3,0.769,12.3,32.4,44.7,21.7,7.6,4.5,15.9,19.4,98.7
23,Utah Jazz*,66,244.9,36.4,80.5,0.453,6.5,19.1,0.34,29.9,61.4,0.488,19.7,26.2,0.754,11,30.1,41.2,20.5,7.5,5.7,14.7,20.7,99
24,New Jersey Nets,66,240.8,37.9,80.2,0.472,6.5,17.4,0.374,31.4,62.8,0.5,16.8,22.6,0.74,11.8,30.8,42.6,23.3,8,5,14.3,19.3,99.1
25,Minnesota Timberwolves,66,241.5,39,85.7,0.455,6.2,18.1,0.34,32.8,67.6,0.486,16,21.2,0.755,11.7,31.8,43.4,21.5,8.3,5.7,13.3,21.7,100.1
26,Cleveland Cavaliers,66,241.9,38.4,82.3,0.467,6.8,18.7,0.362,31.6,63.6,0.498,16.6,22.2,0.748,11.4,31.4,42.8,23.1,7.9,6.2,13.9,20.9,100.2
27,Charlotte Bobcats,66,240.8,38.9,82,0.475,6.2,17.3,0.356,32.8,64.7,0.506,16.9,22.5,0.75,11.8,33.2,45,23.3,7.6,5.7,13.5,20.3,100.9
28,Golden State Warriors,66,241.1,37.3,82.3,0.453,7.1,19.4,0.365,30.2,62.9,0.48,19.5,26.1,0.747,13.2,32.7,45.8,23.1,7.6,5,14.8,16.6,101.2
29,Denver Nuggets*,66,243,38.5,84.4,0.456,8.7,22.6,0.383,29.8,61.8,0.483,15.6,20.5,0.759,11.1,29.2,40.3,23.2,7.9,6.7,15.6,22,101.2
30,Sacramento Kings,66,241.1,40.4,85,0.476,6.7,18.7,0.355,33.8,66.3,0.51,16.9,22.2,0.762,12.3,32.6,45,23.8,7.8,6.4,15.4,19.9,104.4
,,,,,,,,,,,,,,,,,,,,,,,,
