,,,,,,,,,,,,,,,,Offense Four Factors,,,,Defense Four Factors,,,,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Houston Rockets*,29.8,65,17,61,21,8.48,-0.27,8.21,114.7,106.1,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,Toyota Center,"732,722","17,871"
2,Toronto Raptors*,25.8,59,23,60,22,7.78,-0.49,7.29,113.8,105.9,97.4,0.25,0.377,0.575,0.539,12.1,23,0.198,0.501,13,77.7,0.212,Air Canada Centre,"813,431","19,840"
3,Golden State Warriors*,28.8,58,24,56,26,5.98,-0.19,5.79,113.6,107.6,99.6,0.239,0.339,0.603,0.569,14.1,21,0.195,0.504,12.6,76.3,0.186,Oracle Arena,"803,436","19,596"
4,Utah Jazz*,26.7,48,34,53,29,4.3,0.17,4.47,108.4,103.9,95.7,0.26,0.357,0.564,0.527,13.7,21.5,0.202,0.506,14,79.8,0.19,Vivint Smart Home Arena,"734,806","17,922"
5,Philadelphia 76ers*,25.8,52,30,53,29,4.5,-0.2,4.3,109.5,105,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,0.492,12.6,78.6,0.218,Wells Fargo Center,"833,503","20,361"
6,Oklahoma City Thunder*,27.3,48,34,50,32,3.41,0,3.42,110.7,107.2,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.197,0.525,14.7,77.4,0.193,Chesapeake Energy Arena,"746,322","18,203"
7,Boston Celtics*,24.7,55,27,51,31,3.59,-0.35,3.23,107.6,103.9,96,0.243,0.357,0.552,0.518,13,21.5,0.188,0.495,13,78.4,0.191,TD Garden,"763,584","18,624"
8,San Antonio Spurs*,29.3,47,35,49,33,2.89,0,2.89,107.9,104.8,95,0.245,0.282,0.543,0.507,12.2,23.7,0.189,0.507,13.2,78.6,0.17,AT&T Center,"754,562","18,404"
9,Portland Trail Blazers*,25.6,49,33,48,34,2.6,0,2.6,109.1,106.4,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,Moda Center,"795,750","19,409"
10,Minnesota Timberwolves*,27.1,47,35,47,35,2.23,0.12,2.35,113.4,111.1,96,0.28,0.261,0.566,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.189,Target Center,"699,308","17,056"
11,Denver Nuggets,25.1,46,36,45,37,1.48,0.09,1.57,112.5,111,96.8,0.258,0.357,0.57,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,Pepsi Center,"702,796","17,141"
12,New Orleans Pelicans*,27.6,48,34,44,38,1.3,0.18,1.48,109.6,108.3,100.5,0.237,0.319,0.573,0.541,13.3,20,0.183,0.513,12.5,76.7,0.175,Smoothie King Center,"673,920","16,437"
13,Indiana Pacers*,26.2,48,34,45,37,1.38,-0.2,1.18,109.5,108.1,96,0.222,0.284,0.557,0.525,12.3,22.7,0.173,0.527,14.2,76.2,0.174,Bankers Life Fieldhouse,"658,119","16,052"
14,Cleveland Cavaliers*,30.6,50,32,43,39,0.94,-0.35,0.59,112.9,111.9,98,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,Quicken Loans Arena,"843,042","20,562"
15,Washington Wizards*,26.9,43,39,43,39,0.59,-0.06,0.53,109.3,108.7,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,Capital One Arena,"739,302","18,032"
16,Los Angeles Clippers,27,42,40,41,41,0.04,0.11,0.15,110.3,110.2,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,STAPLES Center,"697,812","17,020"
17,Miami Heat*,26.5,44,38,42,40,0.48,-0.33,0.15,106.8,106.3,95.6,0.229,0.358,0.551,0.52,13.3,21.5,0.173,0.507,13.1,79,0.215,AmericanAirlines Arena,"804,850","19,630"
18,Charlotte Hornets,26.6,36,46,42,40,0.26,-0.19,0.07,109.4,109.1,98.4,0.312,0.314,0.549,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,Spectrum Center,"671,404","16,376"
19,Detroit Pistons,25.9,39,43,41,41,-0.15,-0.11,-0.26,107.2,107.3,96.2,0.227,0.333,0.543,0.512,12.3,22.7,0.169,0.524,13.7,78.5,0.172,Little Caesars Arena,"713,945","17,413"
20,Milwaukee Bucks*,25.9,44,38,40,42,-0.3,-0.15,-0.45,109.8,110.1,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,BMO Harris Bradley Center,"685,303","16,856"
