Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
17,Toronto Raptors,82,243.7,36.2,79.2,0.458,6.7,18.4,0.361,29.6,60.8,0.487,19.6,26.2,0.747,10.7,31,41.7,21.9,7,4.7,14.3,20.1,98.7
18,Detroit Pistons,82,241.5,37.3,81.2,0.459,7.4,20.4,0.36,29.9,60.7,0.492,16.9,22.2,0.762,11.1,30.7,41.8,22.4,8.4,5.8,13.7,19.9,98.8
19,Golden State Warriors*,82,241.5,37.2,84.8,0.439,8,23.1,0.347,29.2,61.7,0.473,17.9,23.9,0.748,11.1,31.7,42.7,23.5,8.2,4.9,13.5,19.2,100.3
20,Milwaukee Bucks*,82,241.8,38.4,84.7,0.454,6.5,18.5,0.348,32,66.2,0.483,17,22.5,0.759,12.4,33.6,46,23.1,8,4.4,16,19.1,100.4
21,Portland Trail Blazers,82,242.1,39.3,83,0.474,6.4,18.7,0.34,33,64.3,0.512,15.7,20.6,0.761,11,31.4,42.4,23.7,8.4,4.4,13.1,18.7,100.7
22,Los Angeles Lakers*,82,240.9,39.7,87.6,0.453,7.5,21,0.357,32.2,66.6,0.483,14.2,19.4,0.732,11.5,31.1,42.7,23.4,8.5,4.8,12.9,23.1,101
23,Denver Nuggets*,82,242.7,38.1,85.7,0.444,8.4,23.1,0.363,29.7,62.6,0.474,16.6,22.7,0.731,12.4,29.2,41.6,23.6,8,6.8,15.9,21.6,101.1
24,Orlando Magic,82,241.2,38.6,83.4,0.463,7.5,21,0.359,31.1,62.5,0.498,16.3,22.1,0.738,10.8,31.9,42.8,23.7,7.2,5.2,12.4,16.5,101.1
25,Cleveland Cavaliers,82,240.6,37.9,79.6,0.476,7.4,20,0.372,30.5,59.6,0.511,17.9,24.2,0.739,10.8,31.3,42.1,23.9,7.6,6.8,15.2,19.7,101.2
26,Phoenix Suns,82,241.5,38.8,82.6,0.47,6.9,17.9,0.388,31.9,64.7,0.492,17.1,22.6,0.757,11.7,31.7,43.4,22.8,8.3,5.1,15.3,18.4,101.6
27,Dallas Mavericks,82,243.7,37.4,84,0.445,7.8,21.8,0.359,29.6,62.2,0.475,19.1,25.4,0.753,12,33.6,45.6,22,8.5,4.1,14.7,18.9,101.7
28,Houston Rockets*,82,241.2,38.8,85.5,0.454,8.1,21.9,0.368,30.8,63.5,0.484,16.8,21.6,0.776,10.7,31,41.6,22.7,8.5,6.1,14.8,20.4,102.5
29,Charlotte Bobcats,82,241.5,38.8,82.5,0.471,8.7,22.5,0.388,30.1,59.9,0.502,16.2,21.8,0.747,11.8,32.3,44.1,25.3,6.9,6.9,14,21.3,102.7
30,Sacramento Kings,82,241.8,39.3,83.3,0.472,7.6,21.5,0.355,31.7,61.8,0.512,18.9,24.1,0.783,11.9,31.7,43.6,25.1,7.6,6.3,14.7,20,105.1
,,,,,,,,,,,,,,,,,,,,,,,,
