Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Memphis Grizzlies*,82,241.5,33.5,77,0.435,6.1,18.2,0.338,27.4,58.8,0.465,16.1,21.5,0.748,10.3,28.8,39.1,19.5,7.3,5.5,15.5,20,89.3
2,Indiana Pacers*,81,241.9,34.5,82.2,0.42,5.4,16.6,0.327,29.1,65.6,0.444,16.2,21.3,0.76,11.2,29.6,40.9,19.2,7.5,5.7,13.5,21.9,90.7
3,Chicago Bulls*,82,241.8,35.4,80.1,0.443,5.5,16,0.346,29.9,64.1,0.467,16.5,22.3,0.739,11,30.1,41.1,18.8,7.3,5.8,13.7,19.6,92.9
4,Los Angeles Clippers*,82,240.6,34.6,78,0.443,7.6,20.5,0.373,26.9,57.5,0.468,17.9,23.9,0.749,10.9,28.2,39.1,22.1,7.4,4.1,16.1,20.9,94.6
5,Miami Heat*,82,242.4,35.6,80.9,0.44,7.6,21.7,0.35,28,59.1,0.473,16.2,21.2,0.766,11.2,28.9,40.1,20.2,7.9,3.2,15.6,20.4,95
6,Brooklyn Nets*,82,242.1,37.4,80.7,0.464,6.3,17.3,0.366,31.1,63.4,0.49,14,19.2,0.731,10.7,28.5,39.2,21.4,7.5,4.8,13.4,21.4,95.1
7,Boston Celtics*,81,244.9,36.1,82,0.441,6.8,19.9,0.342,29.3,62.1,0.472,17.7,23.9,0.74,11.4,32.1,43.6,21.6,7.8,4.7,15.3,19.4,96.7
8,New York Knicks*,82,240.6,35.6,77.6,0.458,7.8,21.8,0.357,27.8,55.8,0.498,16.8,22.2,0.757,10,31.6,41.6,19.3,6.4,4,15.1,19.2,95.7
9,Washington Wizards,82,242.1,35.9,81.7,0.44,7.1,20.5,0.349,28.8,61.2,0.47,16.8,22.8,0.738,11,33.2,44.2,21.5,7.8,4.4,14.5,19.1,95.8
10,Philadelphia 76ers,82,240.9,36.8,81,0.454,6.7,19.2,0.349,30.1,61.8,0.487,16.2,21.4,0.76,11,33,44,22.8,7.2,4.8,14.3,16.2,96.5
11,Oklahoma City Thunder*,82,241.8,36.2,85,0.425,7.4,21.5,0.346,28.7,63.5,0.452,16.7,21.6,0.774,12,28.7,40.7,20.5,8.2,3.9,14.8,20.7,96.5
12,San Antonio Spurs*,82,242.4,37.5,84.9,0.442,6.3,17.9,0.353,31.2,66.9,0.466,15.2,20,0.76,11.1,31.4,42.5,21.4,8.2,4.9,14.9,19.1,96.6
13,Atlanta Hawks*,82,242.1,37.5,83.2,0.45,7.6,19.9,0.379,29.9,63.3,0.473,15,19.7,0.763,11.3,32.4,43.7,22.3,8.4,4.3,15.2,18.8,97.5
14,New Orleans Hornets,82,241.2,37,78.5,0.471,7.7,20.6,0.374,29.2,57.9,0.505,16.3,21.5,0.759,10.2,29.2,39.3,23.4,7.9,6,13.2,18.7,97.9
15,Utah Jazz,82,242.4,36.6,79.9,0.458,6.8,18.5,0.37,29.8,61.4,0.485,18,23.8,0.757,11,29.8,40.8,20.6,7.8,5.9,14.7,20.4,98.1
16,Minnesota Timberwolves,82,240.6,38,81.2,0.468,7,19,0.369,30.9,62.2,0.498,15.2,20.1,0.752,10.6,31.5,42.1,22.3,8.1,5.9,15.9,22.5,98.1
