Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Miami Heat,82,243,32.5,76.6,0.425,4.6,13.5,0.342,27.9,63,0.442,19.1,25.9,0.736,10.9,30.3,41.2,17.8,7.6,4.3,13.8,20.8,88.7
2,Philadelphia 76ers*,82,240.6,33.8,79.3,0.426,5.3,16.1,0.331,28.5,63.1,0.451,16.5,21.9,0.751,12,28.6,40.6,21.6,8,5.6,14.7,22.3,89.4
3,San Antonio Spurs*,82,242.1,35.2,82.6,0.426,4.6,13.5,0.338,30.6,69.1,0.443,15.6,20.1,0.777,12.2,29.6,41.9,18.8,7.7,5.2,14.5,23.1,90.5
4,Toronto Raptors*,82,240.9,34.4,77.9,0.441,4.6,13.3,0.346,29.8,64.6,0.461,18.5,24.5,0.752,12.1,29.7,41.8,19.9,7.7,4.8,15.2,19.7,91.8
5,New Jersey Nets*,82,241.8,34.9,81.3,0.429,5,14.3,0.348,29.9,67,0.446,17.4,23,0.753,12.2,30.7,42.9,19.1,8.2,5.4,16.1,20.3,92
6,Detroit Pistons*,82,240,35.7,79.8,0.447,4.4,12.1,0.362,31.3,67.7,0.462,16.5,21.8,0.755,12.1,30.6,42.7,20,7.9,4.1,15.5,22.9,92.2
7,Charlotte Hornets*,82,240.9,34.8,80.4,0.432,5.3,14.1,0.375,29.5,66.3,0.444,18.1,23.6,0.768,11.7,29.3,41,20,7.6,5.1,13.9,20.8,92.9
8,Portland Trail Blazers*,82,241.8,36,79.4,0.453,5.7,15.7,0.363,30.3,63.7,0.476,16,21.6,0.741,10.9,28.4,39.2,23.7,7.5,5,14.7,20.1,93.7
9,Boston Celtics*,82,241.8,34.1,80.2,0.425,6.3,18.4,0.34,27.8,61.8,0.45,19.7,25.5,0.771,11.6,34.2,45.9,22,7.6,5.8,16.3,21.1,94.1
10,Los Angeles Lakers*,82,241.2,35,82.6,0.424,4.9,15.4,0.317,30.2,67.3,0.448,19.2,25.3,0.761,12.4,30.8,43.2,20,7.2,4.3,14,23,94.1
11,Washington Wizards,82,240.6,36,79.7,0.452,5.1,14.5,0.354,30.9,65.2,0.474,17,22.5,0.755,11.7,29,40.7,22.2,7,5,13.4,20.9,94.2
12,Seattle SuperSonics*,82,241.8,36.2,80.5,0.449,5.8,16.8,0.344,30.4,63.8,0.477,16.6,22.5,0.739,13.3,28.4,41.7,22.3,6.9,4.9,15.3,19.8,94.7
13,Utah Jazz*,82,241.8,33.9,75.8,0.447,5.7,14.8,0.383,28.2,61,0.462,21.7,28.1,0.771,11.3,26.9,38.2,19.3,9.1,6.7,16.7,25.2,95.1
14,New York Knicks,82,241.5,35.7,80.1,0.445,5.4,15.3,0.353,30.3,64.8,0.467,18.9,25,0.757,11.7,31,42.7,21.5,8.4,4.7,13.5,20.4,95.6
15,Phoenix Suns,82,241.8,36.1,81.3,0.444,5.3,14.7,0.358,30.8,66.5,0.463,18.4,24.5,0.751,12.6,30.4,43,22.2,8.4,5.8,15.4,18.5,95.8
16,Minnesota Timberwolves*,82,241.5,36.1,81.1,0.445,6,16.1,0.372,30.1,65,0.463,17.7,23.9,0.742,11.1,28.4,39.5,22.6,6.6,5,13.4,20.4,96
17,Los Angeles Clippers,82,241.5,37.5,83.7,0.448,5,14,0.355,32.5,69.8,0.466,16.2,21.7,0.745,13,29,42,22.7,7.5,5.4,12.9,21.6,96.1
18,Indiana Pacers*,82,242.7,36.3,82.9,0.438,5.1,14.6,0.348,31.2,68.3,0.457,18.8,25.1,0.749,12.8,30.7,43.4,21.6,7.5,5.7,14.3,22.6,96.5
19,Sacramento Kings*,82,240.9,38.1,86.7,0.44,4.7,14,0.337,33.4,72.7,0.46,16,21.5,0.744,13,31.9,44.9,22.4,7.7,4.7,15.2,22.3,97
20,Houston Rockets,82,243.7,38.9,83.8,0.464,4.5,12.5,0.36,34.4,71.3,0.482,14.9,19.8,0.752,12.7,30.6,43.3,22.4,7,5.1,12,20.1,97.2
21,Memphis Grizzlies,82,241.2,38,83.3,0.457,4.9,13.6,0.358,33.2,69.7,0.476,16.4,21.8,0.753,13.8,31.2,45.1,23.9,9.5,5.6,14.7,21.8,97.3
22,Milwaukee Bucks,82,242.7,36.8,83.5,0.441,6,16.8,0.358,30.8,66.7,0.461,18.2,24,0.757,12.8,29.7,42.5,23,7.3,4.4,12.9,20,97.7
23,Chicago Bulls,82,241.5,36.9,79.4,0.465,5.1,14.4,0.358,31.8,65.1,0.488,19,25.5,0.746,11.5,31.1,42.6,25.2,8.3,4.9,14.4,21,98
24,Denver Nuggets,82,241.5,36.6,79.8,0.459,5.2,14.3,0.361,31.5,65.5,0.481,19.5,26.1,0.747,12.1,30.8,43,24,8.2,6.8,14.3,20.1,98
25,Atlanta Hawks,82,241.2,37.4,81.4,0.459,5.8,16.2,0.355,31.6,65.2,0.485,17.8,23.9,0.744,12.2,30.8,43,22.6,8.6,6.2,15.1,20.1,98.3
26,Cleveland Cavaliers,82,242.1,37.2,81.4,0.457,5.8,14.6,0.394,31.5,66.8,0.471,18.4,24.6,0.748,11.3,29,40.4,24.3,7.3,5.6,13,20,98.6
27,Orlando Magic*,82,241.8,38,83.3,0.456,5,14.2,0.352,33,69.1,0.478,17.9,24.3,0.737,13.2,32.1,45.4,23.5,8,4.7,15.8,21.2,98.9
28,Dallas Mavericks*,82,242.4,37.7,83.5,0.452,5.5,15.8,0.35,32.2,67.8,0.475,20,26.6,0.751,13,31.7,44.7,22.7,7.2,4.6,14.1,21.8,101
29,Golden State Warriors,82,241.2,39.2,85.3,0.459,4.9,14.2,0.348,34.3,71.1,0.482,19.8,25.9,0.763,13.4,29.9,43.3,24.4,8.6,6.2,14.3,23.8,103.1
,,,,,,,,,,,,,,,,,,,,,,,,
