Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Detroit Pistons*,82,240.6,33.3,76.1,0.437,5,15,0.332,28.3,61,0.463,18.6,25,0.744,10.5,28.6,39.1,19.1,5.8,3.9,13.5,19.7,90.1
2,Boston Celtics*,82,240.9,32.4,77.3,0.419,5.9,18.7,0.316,26.5,58.6,0.452,19.6,26.3,0.743,11,27.9,38.9,18.8,7.2,4.7,16,22.2,90.3
3,San Antonio Spurs*,82,240.6,34.8,78.4,0.444,5.1,15,0.342,29.7,63.5,0.468,15.8,20.9,0.756,9.5,30.8,40.3,18.2,6.9,4.4,12.9,19.8,90.6
4,Houston Rockets*,82,240.6,34.8,80.4,0.433,5.3,14.5,0.365,29.5,66,0.447,17.2,23.3,0.737,10.9,29.8,40.7,18.9,7.6,4.6,13.3,19.7,92
5,New Orleans Hornets*,82,241.5,37,80.5,0.46,6.6,18.9,0.351,30.4,61.6,0.494,14.8,19.3,0.771,9.9,30.9,40.8,21.7,5.7,4,13.9,19.2,95.6
6,Dallas Mavericks*,82,240.6,35.4,79.9,0.443,5,14.2,0.349,30.4,65.6,0.463,20.1,26.4,0.76,10.8,29.5,40.3,18.9,6.5,4.4,12.2,21.2,95.9
7,Philadelphia 76ers*,82,240.9,36.6,79.3,0.461,6.8,18.9,0.36,29.8,60.4,0.493,16.2,21,0.772,11.3,28,39.2,23.2,6.7,5.1,15.7,20.8,96.2
8,Portland Trail Blazers,82,242.7,36.4,80.7,0.451,6.5,18.3,0.356,29.9,62.4,0.479,17.1,22.3,0.766,11.7,30.1,41.7,20.9,6,3.7,12.5,20.2,96.3
9,Cleveland Cavaliers*,82,242.1,35.8,78.8,0.455,6.2,17.3,0.357,29.7,61.5,0.482,18.9,25.2,0.748,9.9,30.5,40.4,21,6.8,4.7,13.3,20.3,96.7
10,Toronto Raptors*,82,241.8,36.7,80.1,0.458,7.5,20.5,0.368,29.1,59.6,0.489,16.4,21.1,0.776,10.1,31.5,41.6,21.9,5.7,4.1,14,18.4,97.3
