Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Houston Rockets,82,241.8,39.3,86.3,0.456,4.3,12.1,0.354,35.1,74.2,0.473,17.4,22.3,0.779,12.5,29.9,42.4,22.7,9,5.3,13.7,22.4,100.3
22,Cleveland Cavaliers,82,242.1,36.4,82.1,0.443,5.1,15,0.342,31.3,67.2,0.465,22.6,29.1,0.776,12.4,31.5,43.9,23.7,8,6.1,16.9,25.1,100.5
23,Milwaukee Bucks*,82,242.1,37,81,0.457,6.5,16.5,0.391,30.5,64.5,0.473,20.5,27.3,0.752,12.6,28.9,41.5,24.2,7.8,4.1,15.9,22.8,101
24,Denver Nuggets,82,242.1,38.2,84.8,0.45,4.9,13.7,0.354,33.3,71.1,0.469,19.9,26.5,0.751,12.5,31.8,44.3,24.4,7.5,5.6,14.4,23.6,101.1
25,Dallas Mavericks,82,240.6,39.3,86,0.457,5.2,15.2,0.345,34.1,70.8,0.481,18.1,24.5,0.74,15.3,33.2,48.4,23.2,7.4,5.1,16.1,22.1,102
26,Detroit Pistons*,82,241.8,38,81.8,0.465,5.6,15,0.371,32.5,66.7,0.486,20.4,27.3,0.746,11.9,30.5,42.4,23.1,8,4.8,17.1,27.1,102
27,Sacramento Kings*,82,241.5,39.9,88.3,0.452,4.8,13.7,0.353,35,74.6,0.47,17.5,23.3,0.751,13.9,33.7,47.6,23.8,9.2,4.9,17.5,23.7,102
28,Los Angeles Clippers,82,240.3,40,83.9,0.477,5.1,13.1,0.387,34.9,70.8,0.494,18.4,24.9,0.741,12.7,32.9,45.6,24.1,7.6,4.6,14.3,21.1,103.5
29,Golden State Warriors,82,240.9,38.6,82.6,0.467,5.2,14.2,0.367,33.4,68.5,0.488,21.4,28.4,0.754,13.3,32.8,46.1,24.8,8.4,6,16.3,23,103.8
,,,,,,,,,,,,,,,,,,,,,,,,
