Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,San Antonio Spurs*,82,240.9,31.9,77.9,0.409,3.8,11.6,0.327,28.1,66.3,0.423,16.7,22.5,0.744,11.1,30,41.1,17.3,7.7,4.6,15.3,22.4,84.3
2,Detroit Pistons*,82,241.2,32.1,77.8,0.413,4.3,14.4,0.302,27.8,63.4,0.438,15.7,21.1,0.744,12,28.7,40.6,19,7.9,5,16,22.9,84.3
3,Indiana Pacers*,82,241.5,32.6,75.4,0.432,4,12.4,0.324,28.6,63,0.453,16.5,22,0.75,10.6,29.5,40.1,20.1,7.1,6.2,15.9,21.9,85.6
4,New Jersey Nets*,82,240.3,32.8,76.9,0.427,5.1,14.5,0.35,27.7,62.3,0.445,17,22.3,0.761,10.6,30.1,40.8,19.8,8,4.6,16.1,21.2,87.8
5,Houston Rockets*,82,243,32.1,78.1,0.412,5.6,15,0.372,26.6,63.1,0.421,18.2,24.7,0.737,11.1,28.7,39.7,20.6,8.7,4.4,13.5,20.7,88
6,Toronto Raptors,82,243.7,33.2,77.6,0.428,3.3,10.8,0.307,29.9,66.8,0.447,18.7,25.1,0.747,12.6,32.5,45.1,18.5,7.2,4.1,14.6,19.7,88.5
7,Minnesota Timberwolves*,82,240.9,33.4,80.8,0.414,4.8,14.4,0.334,28.6,66.4,0.431,17.4,23.1,0.753,12.2,29.3,41.5,20.7,6.7,3.6,13.5,20.2,89.1
8,Miami Heat*,82,240.9,32.4,75.7,0.428,5.3,15.3,0.343,27.2,60.4,0.45,19.7,25.6,0.768,10.9,30.3,41.2,18.6,7,5.4,14.7,21.1,89.7
9,Utah Jazz,82,241.2,31,71.7,0.432,5.1,14.7,0.343,25.9,57,0.455,22.9,29.6,0.771,10.6,26,36.6,18.6,8.1,6.5,15.4,24.4,89.9
10,Philadelphia 76ers,82,242.1,33.5,77.7,0.432,5.4,16.2,0.333,28.1,61.5,0.458,18,24.2,0.744,12.1,29.2,41.4,21.3,8.3,5.6,15.2,21.4,90.5
11,New Orleans Hornets*,82,241.8,34.7,78.6,0.441,5.4,15.9,0.341,29.3,62.7,0.467,17.2,22.9,0.75,11.9,30.2,42.1,21.8,7.5,5.2,15.6,21.1,91.9
12,Portland Trail Blazers,82,243.7,36,80.1,0.45,5.1,14.9,0.341,30.9,65.2,0.475,14.9,19.7,0.753,12.4,28,40.3,23.3,8,4.8,13.7,18.7,92
13,New York Knicks*,82,242.4,34,79.2,0.429,5.1,15,0.338,28.9,64.2,0.45,20.5,26.8,0.763,11.6,29.8,41.4,20.4,8.2,4.7,13.8,19.5,93.5
14,Golden State Warriors,82,242.1,36,80.9,0.445,5,13.5,0.374,30.9,67.4,0.459,17.1,22.9,0.746,12,30.9,42.8,21.5,8.1,5.1,14,22,94
15,Memphis Grizzlies*,82,242.4,34.9,79.9,0.436,4.5,13.3,0.338,30.4,66.6,0.456,20,26.2,0.764,13.4,30.6,44,20.4,8.2,5.6,17,23.1,94.3
